,Organization,Sponsorship Category,Final Allocation,Org Category,Years of Sponsorship
0,ASUC Mental Health Commission,GOVT,"$3,000",ASUC Chartered Programs and Commissions,
1,ASUC Mental Health Commisssion Chair Stipend,STIPEND,"$1,500",ASUC Chartered Programs and Commissions,
2,ASUC Mental Health Commission Director Stipends,STIPEND,"$1,000",ASUC Chartered Programs and Commissions,
3,ASUC Housing Commission,GOVT,"$3,000",ASUC Chartered Programs and Commissions,
4,ASUC Housing Commission Chair Stipend,STIPEND,"$1,250",ASUC Chartered Programs and Commissions,
5,ASUC Housing Commussion Vice Chair Stipend,STIPEND,$750,ASUC Chartered Programs and Commissions,
6,ASUC Financial Wellness Commission,GOVT,SPONSORSHIP ONLY (ABSA),ASUC Chartered Programs and Commissions,
7,ASUC Sexual Violence Commission,GOVT,SPONSORSHIP ONLY (ABSA),ASUC Chartered Programs and Commissions,
8,ASUC Disabled Students Commission,GOVT,"$6,000",ASUC Chartered Programs and Commissions,
9,ASUC Disabled Students Commission Co-Chair Stipends ($1000 each),STIPEND,"$2,000",ASUC Chartered Programs and Commissions,
10,ASUC Intimate Partner Violence Commission,GOVT,SPONSORSHIP ONLY (ABSA),ASUC Chartered Programs and Commissions,
11,ASUC Sustainability Commission,GOVT,"$5,000",ASUC Chartered Programs and Commissions,
12,ASUC Sustainablity Commission Co-Chair Stipends ($1000 each),STIPEND,"$2,000",ASUC Chartered Programs and Commissions,
13,ASUC Health Advocacy Commission,GOVT,"$4,500",ASUC Chartered Programs and Commissions,
14,ASUC Health Advocacy Commission Co-Chair Stipends ($1000 each),STIPEND,"$2,000",ASUC Chartered Programs and Commissions,
15,ASUC Menstrual Equity Commission,GOVT,"$1,000",ASUC Chartered Programs and Commissions,
16,ASUC Menstrual Equity Commission Co-Chair Stipends ($1000 each),STIPEND,"$2,000",ASUC Chartered Programs and Commissions,
17,ASUC Diversity Affairs Commission,GOVT,SPONSORSHIP ONLY (ABSA),ASUC Chartered Programs and Commissions,
18,"ASUC Student Union Programming, Entertainment, and Recreation Board",GOVT,"$25,000",ASUC Chartered Programs and Commissions,
19,CalTV,GOVT,"$10,000",ASUC Chartered Programs and Commissions,
20,ASUC Publications and Media Board,GOVT,"$12,000",ASUC Chartered Programs and Commissions,
21,Innovative Design,GOVT,"$7,500",ASUC Chartered Programs and Commissions,
22,Open Computing Facility,GOVT,"$40,630",ASUC Chartered Programs and Commissions,
23,DeCal Board,GOVT,"$5,000",ASUC Chartered Programs and Commissions,
24,ASUC Student Legal Clinic,GOVT,"$2,400",ASUC Chartered Programs and Commissions,
25,ASUC Grant & Scholarship Foundation,GOVT,"$5,000",ASUC Chartered Programs and Commissions,
26,ASUC Grant & Scholarship Foundation Director Stipends,STIPEND,"$2,000",ASUC Chartered Programs and Commissions,
27,Asian American Research Journal,Publication (PUB),"$1,000",Publications (PUB) Registered Student Organizations,3
28,Atrium,Publication (PUB),$900,Publications (PUB) Registered Student Organizations,2
29,BARE Magazine,Publication (PUB),"$5,000",Publications (PUB) Registered Student Organizations,11
30,Berkeley Economic Review,Publication (PUB),$800,Publications (PUB) Registered Student Organizations,4
31,Berkeley Fiction Review,Publication (PUB),"$2,856",Publications (PUB) Registered Student Organizations,40
32,Berkeley Poetry Review,Publication (PUB),"$1,277",Publications (PUB) Registered Student Organizations,28
33,"Berkeley Political Review, The",Publication (PUB),"$7,050",Publications (PUB) Registered Student Organizations,21
34,Berkeley Scientific Journal,Publication (PUB),"$2,900",Publications (PUB) Registered Student Organizations,7
35,Blue and Gold Yearbook,Publication (PUB),$800,Publications (PUB) Registered Student Organizations,9
36,Caliber Magazine,Publication (PUB),"$7,000",Publications (PUB) Registered Student Organizations,14
37,Caravan Travel & Style Magazine,Publication (PUB),"$4,000",Publications (PUB) Registered Student Organizations,6
38,Caught on Film,Publication (PUB),$700,Publications (PUB) Registered Student Organizations,2
39,Clio's Scroll,Publication (PUB),"$1,640",Publications (PUB) Registered Student Organizations,23
40,Comparative Literature Publication Association (formerly known as Comparative Literature Undergraduate Journal/ Vagabond),Publication (PUB),$900,Publications (PUB) Registered Student Organizations,3
41,DIASPORA Magazine,Publication (PUB),$700,Publications (PUB) Registered Student Organizations,2
42,Gia Magazine (under QARC),Publication (PUB),SPONSORSHIP ONLY (ABSA),Publications (PUB) Registered Student Organizations,4
43,Her Campus of Berkeley,Publication (PUB),"$1,000",Publications (PUB) Registered Student Organizations,3
44,"Heuristic Squelch, The",Publication (PUB),"$8,000",Publications (PUB) Registered Student Organizations,27
