,Organization,Sponsorship Category,OASIS Org ID,SUFIN Account (External ID),Finance Rule Waiver,Contingency Funding,Space Reservation Funding,Final (ABSA) Allocation,Total Funding,Org Category,Years of Sponsorship
0,ASUC Mental Health Commission,GOVT,126447,34020287200000,,,,"$3,000","$3,000",ASUC Chartered Programs and Commissions,
1,ASUC Mental Health Commission Chair Stipend,STIPEND,126447,340202872STIPE,,,,"$1,500","$1,500",ASUC Chartered Programs and Commissions,
2,ASUC Mental Health Commission Director Stipends,STIPEND,126447,340202872STIPE,,,,$500,$500,ASUC Chartered Programs and Commissions,
3,ASUC Housing Commission,GOVT,46042,34010026000000,,,,"$3,000","$3,000",ASUC Chartered Programs and Commissions,
4,ASUC Housing Commission Chair Stipend,STIPEND,46042,340100260STIPE,,,,"$1,250","$1,250",ASUC Chartered Programs and Commissions,
5,ASUC Housing Commission Vice Chair Stipend,STIPEND,46042,340100260STIPE,,,,$750,$750,ASUC Chartered Programs and Commissions,
6,ASUC Sexual Violence Commission,GOVT,91441,34010029600000,,,,"$1,000","$1,000",ASUC Chartered Programs and Commissions,
7,ASUC Disabled Students Commission Co-Chair Stipends ($1000 each),STIPEND,46719,340100360STIPE,,,,"$2,000","$2,000",ASUC Chartered Programs and Commissions,
8,ASUC Sustainability Commission,GOVT,46003,34010023600000,,,,"$5,000","$5,000",ASUC Chartered Programs and Commissions,
9,ASUC Sustainablity Commission Co-Chair Stipends ($1000 each),STIPEND,46003,340100236STIPE,,,,"$2,000","$2,000",ASUC Chartered Programs and Commissions,
10,ASUC Health Advocacy Commission,GOVT,94207,34010036800000,,,,"$6,000","$6,000",ASUC Chartered Programs and Commissions,
11,ASUC Health Advocacy Commission Co-Chair Stipends ($1000 each),STIPEND,94207,340100368STIPE,,,,"$2,000","$2,000",ASUC Chartered Programs and Commissions,
12,ASUC Menstrual Equity Commission,GOVT,46718,34010037200000,,,,"$1,000","$1,000",ASUC Chartered Programs and Commissions,
13,ASUC Menstrual Equity Commission Co-Chair Stipends ($1000 each),STIPEND,46718,340100372STIPE,,,,"$2,000","$2,000",ASUC Chartered Programs and Commissions,
14,"ASUC Student Union Programming, Entertainment, and Recreation Board",GOVT,46330,34010028800000,,,,"$10,000","$10,000",ASUC Chartered Programs and Commissions,
15,CalTV,GOVT,46164,34020072400000,,,,"$9,000","$9,000",ASUC Chartered Programs and Commissions,
16,ASUC Publications and Media Board,GOVT,162553,34010036400000,,,,"$4,000","$4,000",ASUC Chartered Programs and Commissions,
17,Innovative Design,GOVT,46493,34010028000000,,,,"$7,500","$7,500",ASUC Chartered Programs and Commissions,
18,Open Computing Facility,GOVT,46187,34020175200000,,,,"$40,000","$40,000",ASUC Chartered Programs and Commissions,
19,ASUC Student Legal Clinic,GOVT,46010,34020033200000,,,,"$2,000","$2,000",ASUC Chartered Programs and Commissions,
20,ASUC Grant & Scholarship Foundation,GOVT,168130,34010032000000,,,,"$2,000","$2,000",ASUC Chartered Programs and Commissions,
21,ASUC Grant & Scholarship Foundation Director Stipends,STIPEND,168130,340100320STIPE,,,,"$2,000","$2,000",ASUC Chartered Programs and Commissions,
